            time             avgz             stdx             stdy             stdz         nemizrms         nemixrms         nemiyrms         nemirrms             avgx             avgy             avgG           numpar             stdG            avgBx            avgBy            avgBz           avgfEy 
 0.000000000e+00 -1.191442524e-04  4.284352560e-03  5.550324845e-03  5.401470585e-02  2.049334653e-05  5.162007144e-10  5.939396747e-10  5.536854969e-10 -2.381650512e-17 -2.441868764e-05  1.243499734e+00  2.000000000e+03  7.205422317e-05 -1.004958142e-09 -6.566629505e-06  5.943790456e-01  0.000000000e+00 
 5.611500000e-11  9.880007609e-03  4.312646231e-03  5.574958375e-03  5.401470227e-02  2.049334641e-05  3.847297372e-07  6.456423462e-07  4.983677967e-07  2.316469774e-09 -2.452574668e-05  1.243499734e+00  2.000000000e+03  7.205422319e-05  2.603303851e-07 -6.143062151e-06  5.943790510e-01  0.000000000e+00 
 1.122300000e-10  1.987915929e-02  4.341777188e-03  5.598504602e-03  5.401469847e-02  2.049334810e-05  7.794970549e-07  1.305999603e-06  1.008912760e-06  9.573809366e-09 -2.462604166e-05  1.243499734e+00  2.000000000e+03  7.205422310e-05  5.854650331e-07 -5.740187798e-06  5.943790219e-01  0.000000000e+00 
 1.683450000e-10  2.987831013e-02  4.371910636e-03  5.620766980e-03  5.401469367e-02  2.049335156e-05  1.181930292e-06  1.972609433e-06  1.526836034e-06  2.288702054e-08 -2.471766564e-05  1.243499734e+00  2.000000000e+03  7.205422316e-05  1.005943241e-06 -5.200321227e-06  5.943789512e-01  0.000000000e+00 
 2.244600000e-10  3.987745939e-02  4.403206866e-03  5.641548574e-03  5.401468702e-02  2.049335645e-05  1.587399170e-06  2.638867595e-06  2.046584249e-06  4.307564065e-08 -2.479943275e-05  1.243499734e+00  2.000000000e+03  7.205422309e-05  1.368583085e-06 -4.555045486e-06  5.943788315e-01  0.000000000e+00 
 2.805750000e-10  4.987660614e-02  4.435829277e-03  5.660663014e-03  5.401467760e-02  2.049336256e-05  1.990909296e-06  3.300655356e-06  2.563330935e-06  6.947689923e-08 -2.487135990e-05  1.243499734e+00  2.000000000e+03  7.205422307e-05  1.769566330e-06 -3.956866211e-06  5.943786526e-01  0.000000000e+00 
 3.366900000e-10  5.987574937e-02  4.469944424e-03  5.677921010e-03  5.401466443e-02  2.049336955e-05  2.387827069e-06  3.939664472e-06  3.066976325e-06  1.019667108e-07 -2.493141647e-05  1.243499734e+00  2.000000000e+03  7.205422308e-05  2.053499591e-06 -3.214954075e-06  5.943784111e-01  0.000000000e+00 
 3.928050000e-10  6.987488793e-02  4.505723119e-03  5.693115498e-03  5.401464654e-02  2.049337707e-05  2.772894341e-06  4.552166724e-06  3.552677312e-06  1.387666541e-07 -2.497980034e-05  1.243499734e+00  2.000000000e+03  7.205422303e-05  2.321164631e-06 -2.541232208e-06  5.943780971e-01  0.000000000e+00 
 4.489200000e-10  7.987402054e-02  4.543342007e-03  5.706050377e-03  5.401462295e-02  2.049338480e-05  3.137300755e-06  5.128851959e-06  4.011155012e-06  1.799688790e-07 -2.501752659e-05  1.243499734e+00  2.000000000e+03  7.205422296e-05  2.577620080e-06 -1.901930076e-06  5.943777004e-01  0.000000000e+00 
 5.050350000e-10  8.987314573e-02  4.582988762e-03  5.716520166e-03  5.401459268e-02  2.049339248e-05  3.475779517e-06  5.652751214e-06  4.432410518e-06  2.256077530e-07 -2.504089595e-05  1.243499734e+00  2.000000000e+03  7.205422298e-05  2.873149046e-06 -8.866233216e-07  5.943772146e-01  0.000000000e+00 
 5.611500000e-10  9.987226192e-02  4.624844353e-03  5.724318942e-03  5.401455483e-02  2.049339985e-05  3.782975533e-06  6.120893554e-06  4.811829087e-06  2.766511959e-07 -2.504733026e-05  1.243499734e+00  2.000000000e+03  7.205422292e-05  3.161191154e-06  1.431627406e-07  5.943766292e-01  0.000000000e+00 
 6.172650000e-10  1.098713674e-01  4.669091025e-03  5.729259723e-03  5.401450857e-02  2.049340692e-05  4.048960232e-06  6.526153453e-06  5.140290139e-06  3.316623319e-07 -2.503543403e-05  1.243499734e+00  2.000000000e+03  7.205422297e-05  3.393367900e-06  1.282672041e-06  5.943759332e-01  0.000000000e+00 
 6.733800000e-10  1.198704601e-01  4.715913206e-03  5.731150464e-03  5.401445318e-02  2.049341351e-05  4.263044841e-06  6.839826849e-06  5.399728985e-06  3.905962117e-07 -2.500506903e-05  1.243499734e+00  2.000000000e+03  7.205422300e-05  3.571423155e-06  2.328331906e-06  5.943751209e-01  0.000000000e+00 
 7.294950000e-10  1.298695381e-01  4.765497889e-03  5.729785292e-03  5.401438804e-02  2.049341993e-05  4.409790548e-06  7.049456703e-06  5.575444057e-06  4.508823901e-07 -2.495784321e-05  1.243499734e+00  2.000000000e+03  7.205422304e-05  3.599943034e-06  3.338768066e-06  5.943741810e-01  0.000000000e+00 
 7.856100000e-10  1.398685992e-01  4.818034393e-03  5.724968731e-03  5.401431271e-02  2.049342658e-05  4.468733409e-06  7.131737453e-06  5.645269036e-06  5.116246396e-07 -2.489254435e-05  1.243499734e+00  2.000000000e+03  7.205422306e-05  3.633025102e-06  4.401795448e-06  5.943731032e-01  0.000000000e+00 
 8.417250000e-10  1.498676409e-01  4.873696657e-03  5.716529810e-03  5.401422697e-02  2.049343413e-05  4.468771739e-06  7.131794620e-06  5.645316391e-06  5.729451111e-07 -2.481043149e-05  1.243499734e+00  2.000000000e+03  7.205422306e-05  3.655762552e-06  5.359612196e-06  5.943718775e-01  0.000000000e+00 
 8.978400000e-10  1.598666607e-01  4.932550316e-03  5.704434752e-03  5.401413075e-02  2.049344287e-05  4.468691411e-06  7.131720697e-06  5.645236888e-06  6.346375228e-07 -2.471223580e-05  1.243499734e+00  2.000000000e+03  7.205422307e-05  3.674433225e-06  6.314492324e-06  5.943704992e-01  0.000000000e+00 
 9.539550000e-10  1.698656564e-01  4.994601112e-03  5.688721647e-03  5.401402458e-02  2.049344722e-05  4.435491247e-06  7.088604032e-06  5.607229225e-06  6.942360181e-07 -2.459847526e-05  1.243499734e+00  2.000000000e+03  7.205422304e-05  3.367280318e-06  7.202215117e-06  5.943690272e-01  0.000000000e+00 
 1.010070000e-09  1.798646271e-01  5.059733086e-03  5.669550550e-03  5.401391127e-02  2.049344328e-05  4.344851357e-06  6.967610131e-06  5.502087260e-06  7.472108115e-07 -2.447133932e-05  1.243499734e+00  2.000000000e+03  7.205422304e-05  2.949125624e-06  7.908111329e-06  5.943675306e-01  0.000000000e+00 
 1.066185000e-09  1.898635725e-01  5.127795826e-03  5.647110399e-03  5.401379428e-02  2.049343340e-05  4.204700148e-06  6.777582538e-06  5.338318689e-06  7.938991341e-07 -2.433306380e-05  1.243499734e+00  2.000000000e+03  7.205422303e-05  2.568871093e-06  8.573888338e-06  5.943660267e-01  0.000000000e+00 
 1.122300000e-09  1.998624926e-01  5.198634263e-03  5.621585384e-03  5.401367699e-02  2.049342044e-05  4.023593052e-06  6.529355177e-06  5.125551231e-06  8.334215392e-07 -2.418191755e-05  1.243499734e+00  2.000000000e+03  7.205422302e-05  2.155080403e-06  9.361688286e-06  5.943645261e-01  0.000000000e+00 
 1.178415000e-09  2.098613877e-01  5.272087702e-03  5.593157463e-03  5.401356273e-02  2.049340675e-05  3.802728625e-06  6.219389183e-06  4.863150471e-06  8.673690394e-07 -2.401925269e-05  1.243499734e+00  2.000000000e+03  7.205422300e-05  1.861191344e-06  9.975602692e-06  5.943630505e-01  0.000000000e+00 
 1.234530000e-09  2.198602582e-01  5.347988904e-03  5.562010583e-03  5.401345468e-02  2.049339498e-05  3.550385851e-06  5.853331029e-06  4.558604652e-06  8.961226587e-07 -2.384729473e-05  1.243499734e+00  2.000000000e+03  7.205422297e-05  1.525241884e-06  1.050981135e-05  5.943616128e-01  0.000000000e+00 
 1.290645000e-09  2.298591050e-01  5.426157732e-03  5.528331024e-03  5.401335577e-02  2.049338740e-05  3.277902695e-06  5.443323862e-06  4.223980400e-06  9.187296659e-07 -2.366651403e-05  1.243499734e+00  2.000000000e+03  7.205422300e-05  1.129037455e-06  1.093382844e-05  5.943602292e-01  0.000000000e+00 
 1.346760000e-09  2.398579289e-01  5.506417669e-03  5.492302195e-03  5.401326853e-02  2.049338609e-05  3.015848274e-06  5.000410796e-06  3.883294238e-06  9.333666833e-07 -2.347880944e-05  1.243499734e+00  2.000000000e+03  7.205422300e-05  6.211241056e-07  1.132006998e-05  5.943589004e-01  0.000000000e+00 
 1.402875000e-09  2.498567311e-01  5.588599586e-03  5.454109913e-03  5.401319505e-02  2.049339253e-05  2.789204991e-06  4.538614842e-06  3.557911943e-06  9.403622722e-07 -2.328544589e-05  1.243499734e+00  2.000000000e+03  7.205422301e-05  1.960150338e-07  1.169429964e-05  5.943576346e-01  0.000000000e+00 
 1.458990000e-09  2.598555125e-01  5.672531953e-03  5.413930364e-03  5.401313696e-02  2.049340769e-05  2.627604150e-06  4.071178007e-06  3.270671055e-06  9.395886841e-07 -2.308622570e-05  1.243499734e+00  2.000000000e+03  7.205422303e-05 -2.648705767e-07  1.194132344e-05  5.943564393e-01  0.000000000e+00 
 1.515105000e-09  2.698542745e-01  5.758044732e-03  5.371960958e-03  5.401309542e-02  2.049343196e-05  2.557002904e-06  3.599777183e-06  3.033903208e-06  9.325393151e-07 -2.288321929e-05  1.243499734e+00  2.000000000e+03  7.205422304e-05 -5.552883398e-07  1.219119789e-05  5.943553318e-01  0.000000000e+00 
 1.571220000e-09  2.798530187e-01  5.844964653e-03  5.328403507e-03  5.401307104e-02  2.049346512e-05  2.589250768e-06  3.141589709e-06  2.852027067e-06  9.208085011e-07 -2.267569111e-05  1.243499734e+00  2.000000000e+03  7.205422303e-05 -8.411612526e-07  1.250081158e-05  5.943543202e-01  0.000000000e+00 
 1.627335000e-09  2.898517468e-01  5.933110395e-03  5.283457520e-03  5.401306387e-02  2.049350620e-05  2.710158717e-06  2.710060720e-06  2.710022866e-06  9.039362233e-07 -2.246323383e-05  1.243499734e+00  2.000000000e+03  7.205422299e-05 -1.146395292e-06  1.264194588e-05  5.943534238e-01  0.000000000e+00 
 1.683450000e-09  2.998504609e-01  6.022297911e-03  5.237337977e-03  5.401307328e-02  2.049355364e-05  2.903762233e-06  2.319143586e-06  2.594923164e-06  8.812282774e-07 -2.225086569e-05  1.243499734e+00  2.000000000e+03  7.205422299e-05 -1.561447102e-06  1.258802824e-05  5.943526490e-01  0.000000000e+00 
